id,cleanup_term,source,definition,exactmatch1,historynote,note,sourcenote,parent1id,parent2id,parent3id
853,layer_shape,GeologicUnitMorphology_2016,"Body geometry characterized by generally thin character relative to the lateral extent of the body (on order of 1:100). Thin bodies of lesser extent are lenses. Connotes a non-intrusive body, equivalent intrusive body would be dike (or sill). Denotes that body is in a sequence of similar sheet-like bodies between other rock bodies",,,,This vocabulary,geologic_body,,
854,leucocratic,,,,,,,,,
855,lithophysae,ParticleType_2016,"Bubble-like cavity with concentric shells of finely crystalline minerals, open space remains in core of structure. Radiating fibrous structure may be present in secondary mineral fill. Typically in silicic volcanic rock.",,,,Neuendorf et al 2005,cavity,,
856,loellingite,"Chace, F.M. (1956)",,,,,,,,
857,lamination,"Chace, F.M. (1956)",,,,,,,,
858,laumontite,"Chace, F.M. (1956)",,,,,,,,
859,lenticular,EarthResourceShape_2016,"A body bounded by converging surfaces (at least one of which is curved), thick in the middle and thinning out toward the edges, resembling a convex lens.",http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/lens,,,"Glossary of Geology. 4th Edition, AGI + DC, adapted from",top,,
860,lepidolite,"Chace, F.M. (1956)",,,,,,,,
861,lime green,dh2loop_Color,,,,,,,,
862,lithoclast,ParticleType_2016,"A mechanically formed and deposited fragment of a carbonate rock...derived from an older, lithified limestone or dolomite within, adjacent to, or outside the depositional site",,,,"Neuendorf et al., 2005, p. 375",lithic_clast,,
863,laccolith,GeologicUnitMorphology_2016,"A tabular or lenticular igneous body whose long dimensions parallel layering in the host rock, and which as a convex-up roof and a known or assumed flat floor",,,,This vocabulary,geologic_body,,
864,laminated,dh2loop_FoliationType,,,,,,,,
865,lensoidal,EarthResourceShape_2016,"A body bounded by converging surfaces (at least one of which is curved), thick in the middle and thinning out toward the edges, resembling a convex lens.",http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/lens,,,"Glossary of Geology. 4th Edition, AGI + DC, adapted from",top,,
866,less than,dh2loop_ValueQualifier,,,,,,,,
867,leucoxene,,,,,,,,,
868,lineation,LineationType_2016,Nongenetic term for a penetrative linear structure.,0,0,0,"Neuendorf et al 2005, this vocabulary",,,
869,linnaeite,"Chace, F.M. (1956)",,,,,,,,
870,lithodeme,StratigraphicRank_2016,A body of predominantly intrusivehighly deformed and/or highly metamorphosed rock; distinguished and delimited on the basis of rock characteristics.,http://resource.geosciml.org/classifier/cgi/stratigraphicrank/0005,,,North American Commission on Stratigraphic Nomenclature; 2005,suite,,
871,lithosome,GeologicUnitPartRole_2016,"A kind of rock body that has multiple occurrences in a single geologic unit. A mass of rock of uniform character, characterized by geometry, composition, and internal structure. Generally denotes rock mass that is the product of a particular rock forming process or related sequence of processes in the containing unit. Example--bouma sequence, point bar sequence. A particular lithosome may be characterized by the presence of blocks, but blocks are not treated as kinds of lithosome because the internal character of the blocks is determined by a separate genetic sequence from the described unit. This vocabulary generalizes the concept defined in Neuendorf et al 2005 to include bodies of igneous or metamorphic rock as well as sedimentary rock. NADM SLTTs (2004) used the term 'lithotope' with similar meaning for sedimentary rocks.",,,,This vocabulary,part_of,,
872,lizardite,dh2loop_Minerals,,,,,,,,
873,layering,FoliationType_2016,"Foliation defined by stacked, differentiable, sheet-like masses of material (layers), with no denotation of the nature (composition, grain size, grain shape...) or origin (igneous, sedimentary, metamorphic) of the layers.",,,,this vocabulary,foliation,,
874,leaching,ProcessingActivity_2016,Action of chemical reagents on a material resulting in the dissolution of some of its elements.,,,,"Dictionnaire thématique des mines et carrières, SIM Editor.",chemical-treatment,,
875,lessThan,ValueQualifier_2016,Reported property value is upper bound,,,,"GeoSciML UML model, definition this vocabulary",top,,
876,limonite,"Chace, F.M. (1956)",,,,,,,,
877,littoral,,,,,,,,,
878,locality,dh2loop_RelativeLocation,,,,,,,,
879,location,"Chace, F.M. (1956)",,,,,,,,
880,lopolith,GeologicUnitMorphology_2016,"A large, concordant, typically layered igneous intrusion whose floor is convex-down and whose roof may be convex-down or flat.",,,,This vocabulary,geologic_body,,
881,luzonite,"Chace, F.M. (1956)",,,,,,,,
882,largely,dh2loop_ValueQualifier,,,,,,,,
883,laurite,,,,,,,,,
884,leached,dh2loop_ProcessingActivity,,,,,,,,
885,leucite,,,,,,,,,
886,lightly,dh2loop_ProportionTerms,,,,,,,,
887,locally,dh2loop_RelativeLocation,,,,,,,,
888,lamine,,,,,,,,,
889,larger,dh2loop_ValueQualifier,,,,,,,,
890,lesser,dh2loop_ValueQualifier,,,,,,,,
891,little,dh2loop_ValueQualifier,,,,,,,,
892, large ,dh2loop_ValueQualifier,,,,,,,,
893, leach ,dh2loop_ProcessingActivity,,,,,,,,
894, light ,"Chace, F.M. (1956)",,,,,,,,
895, local ,,,,,,,,,
896, loose ,,,,,,,,,
897, lower ,dh2loop_ValueQualifier,,,,,,,,
898, lowly ,dh2loop_ValueQualifier,,,,,,,,
899,lumpy,,,,,,,,,
900, lump ,,,,,,,,,
901, last ,dh2loop_RelativeLocation,,,,,,,,
902, lean ,"Chace, F.M. (1956)",,,,,,,,
903, lens ,EarthResourceShape_2016,"A body bounded by converging surfaces (at least one of which is curved), thick in the middle and thinning out toward the edges, resembling a convex lens.",http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/lens,,,"Glossary of Geology. 4th Edition, AGI + DC, adapted from",top,,
904, less ,dh2loop_ValueQualifier,,,,,,,,
905, loam ,,,,,,,,,
906, lode ,MineralOccurrenceType_2016,"A coherent zone of mineralized material within a mineral deposit.  This may correspond to a lode, or vein, or orebody, or any similar subdivision of a larger mineral deposit.",,,"The basis for identification as a potential site of a mineral deposit is not part of the definition, but may include surface mineral occurrences, matches with various favorability criteria, geologic, geophysical, or geochemical anomalies.  A site may be considered a prospect based on evidence of previous mineral exploration activity such as excavated pits or shafts.  There might not actually be a mineral occurrence associated with the prospect.",This vocabulary,top,,
907, lots ,,,,,,,,,
908, low ,dh2loop_ValueQualifier,,,,,,,,
909,material_transport_and_deposition,EventProcess2016,"Transport and heaping of material, as in a land fill, mine dump, dredging operations",http://resource.geosciml.org/classifier/cgi/eventprocess/0047,,,this vocabulary,human_activity,,
910,mixed-concordant-discordant,EarthResourceForm_2016,"A subconcordant body in some places lies parallel to, and in other places crosscuts, wallrock contacts or internal structures (eg, bedding, foliation)",,,,this vocabulary,top,,
911,magnetostratigraphic_unit,GeologicUnitType_2016,Geologic unit defined by magnetic characteristics.,http://resource.geosciml.org/classifier/cgi/geologicunittype/0016,,,"Salvador, A., 1994, International Stratigraphic Guide, Second Edition",geophysical_unit,,
912,magmatic_crystallisation,EventProcess2016,"The process by which matter becomes crystalline, from a gaseous, fluid, or dispersed state",http://resource.geosciml.org/classifier/cgi/eventprocess/0042,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",magmatic_process,,
913,magnetic_field_reversal,EventProcess2016,A geomagnetic event in which the Earth's magnetic field reverses direction.,http://resource.geosciml.org/classifier/cgi/eventprocess/0044,,,this vocabulary,geomagnetic_process,,
914,mass_wasting_deposition,EventProcess2016,"A general term for the dislodgement and downslope transport of soil and rock material under the direct application of gravitational body stresses. In contrast to other erosion processes, the debris removed by mass wasting is not carried within, on, or under another medium. The mass properties of the material being transported depend on the interaction of the soil and rock particles and on the moisture content. Mass wasting includes slow displacements, such as creep and solifluction, and rapid movements such as rockfalls, rockslides, and cohesive debris flows (Jackson, 1997, p. 392). Includes both subaerial mass-wasting processes and subaqueous mass-wasting processes.",http://resource.geosciml.org/classifier/cgi/eventprocess/0046,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",mechanical_deposition,,
915,mineralogical_layering,FoliationType_2016,Generic layering defined by variations in mineralogy between individual sheets of material,,,,this vocabulary,compositional_layering,,
916,metallogenic_province,MineralOccurrenceType_2016,"A regional geological province characterized by mineral occurrences and/or prospects of similar style (eg, related by commodities, mineralization process, environment).",,,,This vocabulary,top,,
917,mechanical_deposition,EventProcess2016,"Process by which material that is being transported as particles by moving air, water, ice, or other fluid comes to rest and accumulates.",http://resource.geosciml.org/classifier/cgi/eventprocess/0048,,,NADM SLTTs 2004,deposition,,
918,mixed_brittle_ductile,DeformationStyle_2016,Deformation in fault zone has been accommodated by both fracturing and plastic shape change in rock bodies.,,,,this vocabulary,top,,
919,moderately_indurated,ConsolidationDegree_2016,Multiple blows with standard rock hammer (less than 1 kg) are required to break rock.,http://resource.geosciml.org/classifier/cgi/consolidationdegree/0009,,,This vocabulary,indurated,,
920,mylonite_foliation,FoliationType_2016,"Generic mylonitic foliation in which 50-90 percent of rock is matrix due to tectonic grain size reduction processes. Planar fabric is very apparent due to flattening of mineral grains, development of shear surfaces, and alignment of tabular mineral grains. Lineation is typically present and easily observed.",,,,"SLTTm 2004, Sibson 1977",generic_mylonitic_foliation,,
921,meandering_channel,EventEnvironment_2016,Produced by a mature stream swinging from side to side as it flows across its floodplain or shifts its course laterally toward the convex side of an original curve,http://resource.geosciml.org/classifier/cgi/eventenvironment/0091,,,"Neuendorf et al., 2005",river_channel,,
922,mass_movement_unit,GeologicUnitType_2016,"Geologic unit produced by gravity driven, down-slope displacemnt of material, and characterized by the type of movement giving rise to the deposit, and by how the individual movement types present in the deposit are related in time and space.",http://resource.geosciml.org/classifier/cgi/geologicunittype/0017,,,this vocabulary,lithogenetic_unit,,
923,miarolitic_cavity,ParticleType_2016,An irregular cavity in a phaneritic igneous rock into which small crystals of the rock-forming minerals protrude.,,,,Neuendorf et al 2005,vug,,
924,mineral_lineation,LineationType_2016,Lineation defined by alignment of elongate crystals that have a prismatic crystal habit or of monomineralic grain aggregates.,,,,"Neuendorf et al 2005, this vocabulary",particle_shape_lineation,,
925,mineralized-zone,MineralOccurrenceType_2016,"A coherent zone of mineralized material within a mineral deposit.  This may correspond to a lode, or vein, or orebody, or any similar subdivision of a larger mineral deposit.",,,"The basis for identification as a potential site of a mineral deposit is not part of the definition, but may include surface mineral occurrences, matches with various favorability criteria, geologic, geophysical, or geochemical anomalies.  A site may be considered a prospect based on evidence of previous mineral exploration activity such as excavated pits or shafts.  There might not actually be a mineral occurrence associated with the prospect.",This vocabulary,top,,
926,magmatic_process,EventProcess2016,A process involving melted rock (magma).,http://resource.geosciml.org/classifier/cgi/eventprocess/0043,,,this vocabulary,geologic_process,,
927,meteorite_impact,EventProcess2016,The impact of a meteorite on the surface of the earth,http://resource.geosciml.org/classifier/cgi/eventprocess/0051,,,this vocabulary,bolide_impact,,
928,mixed_extraction,FaultMovementType_2016,An extraction fault with some displacement within the fault plane.,http://resource.geosciml.org/classifier/cgi/faultmovementtype/0005,,,"Froitzheim, N., Pleuger, J. & Nagel, T.J., 2006. Extraction faults. Journal of Structural Geology v28, pp. 1388-1395.",extraction,,
929,mineral_deposit,MineralOccurrenceType_2016,"A mass of naturally occurring material in the Earth that contains an anomalous concentration of some mineral or rock type that has some potential for human utilization, without regard to mode of origin. Typically is a single, connected, genetically related body of material.",,,,"This vocabulary, modified from Neuendorf et al., 2005 (AGI Glossary)",occurrence,,
930,material_fossil,ParticleType_2016,"The preserved remains or replaced remains (casts) of plants and animals. A fossil type may have one or more described associated organisms. If particle type is materialFossil, an additional type property element may provide a reference to a Paleontologic description of the fossil.",,,,GeoSciML v2 RC1 model element scope note,biogenic_particle,,
931,montmorillonite,dh2loop_Minerals,,,,,,,,
932,metacinnabarite,"Chace, F.M. (1956)",,,,,,,,
933,microfracturing,EventProcess2016,Development of fractures within a single grain or cutting several grains.,http://resource.geosciml.org/classifier/cgi/eventprocess/0052,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",fracturing,,
934,middle_bathyal,EventEnvironment_2016,The ocean environment at water depths between 600 and 1000 metres,http://resource.geosciml.org/classifier/cgi/eventenvironment/0094,,,"Berggren, W.A. & Miller, K.G., 1989. Cenozoic bathyal and abyssal calcareous benthic foraminiferal zonation. Micropalaeontology 35, 308-320",bathyal,,
935,middle_neritic,EventEnvironment_2016,The ocean environment at depths between 30 and 100 metres,http://resource.geosciml.org/classifier/cgi/eventenvironment/0096,,,this vocabulary,neritic,,
936,mineral_clast,ParticleType_2016,An epiclast that is composed of a single mineral.,,,,NADM SLTTs 2004,epiclast,,
937,melanocratic,,,,,,,,,
938,mass_wasting,EventProcess2016,"the dislodgement and downslope transport of soil and rock material under the direct application of gravitational body stresses. In contrast to other erosion processes, the debris removed by mass wasting is not carried within, on, or under another medium. The mass properties of the material being transported depend on the interaction of the soil and rock particles and on the moisture content.",http://resource.geosciml.org/classifier/cgi/eventprocess/0045,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",erosion,,
939,megasequence,StratigraphicRank_2016,A succession of strata comprising two or more supersequences. A large-scale sequence-stratigraphic unit deposited during one distinct phase of basin evolution; separated by major unconformities that mark a change in fundamental basin-controlling processes.,http://resource.geosciml.org/classifier/cgi/stratigraphicrank/0006,,,Haq; B.U.hardenbol; J.; and Vail; P.R.; 1988; Mesozoic and Cenozoic chronostratigraphy an dcycles of sea-level changes; in Wilgus; C.K.; et al.; eds; Sea-level Changes: an Integrated Approach: Society of Sedimentary Geology Special Publication 42; p. 71-108.,top,,
940,multicoloured,,,,,,,,,
941,multicolored,,,,,,,,,
942,molybdenite,"Chace, F.M. (1956)",,,,,,,,
943,mineralised,,,,,,,,,
944,mackinawite,dh2loop_Minerals,,,,,,,,
945,megacrystic,,,,,,,,,
946,meneghinite,"Chace, F.M. (1956)",,,,,,,,
947,microcline,dh2loop_Minerals,,,,,,,,
948,moderately,dh2loop_ProportionTerms,,,,,,,,
949,marker_bed,GeologicUnitPartRole_2016,Stratigraphic part that is a thin laterally continuous bed within another unit.,,,,This vocabulary,stratigraphic_part,,
950,miargyrite,"Chace, F.M. (1956)",,,,,,,,
951,malachite,"Chace, F.M. (1956)",,,,,,,,
952,melastoma,,,,,,,,,
953,millerite,"Chace, F.M. (1956)",,,,,,,,
954,matildite,"Chace, F.M. (1956)",,,,,,,,
955,mammilary,,,,,,,,,
956,microlite,ParticleType_2016,Constituent occurs as minute incipient crystals that display some birefringence in thin section.,,,,"Williams, Turner, Gilbert 1954",crystalline_grain,,
957,maghemite,dh2loop_Minerals,,,,,,,,
958,magnesite,dh2loop_Minerals,,,,,,,,
959,manganese,dh2loop_Minerals,,,,,,,,
960,manganite,"Chace, F.M. (1956)",,,,,,,,
961,marcasite,"Chace, F.M. (1956)",,,,,,,,
962,megacryst,CompoundMaterialConstituentPartRole_2016,"Any crystal in an igneous or metamorphic rock that is sgnificantly larger than the surounding groundmass. May be a phenocryst,xenocryst,porphyroblast or porphyroclast",http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0021,,,Neuendorf et al 2005,particulate_constituent,,
963,micaceous,,,,,,,,,
964,mohawkite,"Chace, F.M. (1956)",,,,,,,,
965,muscovite,"Chace, F.M. (1956)",,,,,,,,
966,melonite,"Chace, F.M. (1956)",,,,,,,,
967,marginal,dh2loop_ProportionTerms,,,,,,,,
968,material,"Chace, F.M. (1956)",,,,,,,,
969,magentic,,,,,,,,,
970,magmatic,,,,,,,,,
971,magnetic,"Chace, F.M. (1956)",,,,,,,,
972,majority,dh2loop_ProportionTerms,,,,,,,,
973,mesotype,,,,,,,,,
974,mesozoic,dh2loop_GeologicTime,,,,,,,,
975,miassite,dh2loop_Minerals,,,,,,,,
976,mimetite,dh2loop_Minerals,,,,,,,,
977,minority,dh2loop_ProportionTerms,,,,,,,,
978,moderate,dh2loop_ProportionTerms,,,,,,,,
979,monazite,dh2loop_Minerals,,,,,,,,
980,melting,EventProcess2016,change of state from a solid to a liquid,http://resource.geosciml.org/classifier/cgi/eventprocess/0049,,,this vocabulary,magmatic_process,,
981,massive,"Chace, F.M. (1956)",,,,,,,,
982,medium-,,,,,,,,,
983,miocene,dh2loop_GeologicTime,,,,,,,,
984,mantle,EventEnvironment_2016,"The zone of the Earth below the crust and above the core, which is divided into the upper mantle and the lower mantle, with a transition zone separating them.",http://resource.geosciml.org/classifier/cgi/eventenvironment/0087,,,"Neuendorf et al., 2005",earth_interior_setting,tectonic_setting,
985,mostly,dh2loop_ValueQualifier,,,,,,,,
986,margin,dh2loop_RelativeLocation,,,,,,,,
987,marine,,,,,,,,,
988,matrix,CompoundMaterialConstituentPartRole_2016,"Constituent forms finer-grained material interstitial to a framework constituent. \The finer-grained material enclosing,or filling the interstices between,the larger grains or particles of a sediment or sedimentary rock....The term refers to the relative size and disposition of the particles,and no particular particle size is implied\ (Jackson,1997,p. 393). May be classifiable into orthomatrix,protomatrix,epimatrix,pseudomatrix,and unclassified matrix.",http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0020,0,0,"NADM SLTTs 2004, Jackson,1997",,,
989,member,StratigraphicRank_2016,A formal lithostratigraphic unit next in rank below a formation; and always part of a formation. It is a named entity within a formation because it possesses characteristics distinguishing it from adjacent parts of the formation.,http://resource.geosciml.org/classifier/cgi/stratigraphicrank/0007,,,North American Commission on Stratigraphic Nomenclature; 2005; Salvador; 1994,formation,,
990, major ,ProportionTerms_2016,Component constitutes greater than 50 percent of the volume of the described entity.,0,0,0,this vocabulary,,,
991, manto ,EarthResourceShape_2016,"A body having two dimensions that are much larger or longer than the third, e.g. a dyke-hosted or bed-hosted deposit",http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/tabular_prism,,,"Dictionary of Mining 2nd ed, AGI 1997, adapted from",top,,
992, meta- ,,,,,,,,,
993, minor ,ProportionTerms_2016,Component constitutes less than 25 percent of the volume of the described entity.,0,0,0,this vocabulary,,,
994, mixed ,"Chace, F.M. (1956)",,,,,,,,
995, mound ,GeologicUnitMorphology_2016,"Lense like body of rock, lateral extent less than 100m, generally flat at bottom, with stratigraphic pinch out of beds (onlap) along upper sides.",,,,This vocabulary,geologic_body,,
996, meta ,,,,,,,,,
997, more ,dh2loop_VocabularyRelation,,,,,,,,
998, most ,dh2loop_ValueQualifier,,,,,,,,
999, moya ,,,,,,,,,
1000,no_movement_sense,FaultMovementSense_2016,"The fault-parallel displacement is effectively zero, as in an extraction fault.",http://resource.geosciml.org/classifier/cgi/faultmovementsense/0004,,,"Froitzheim, N., Pleuger, J. & Nagel, T.J., 2006. Extraction faults. Journal of Structural Geology v28, pp. 1388-1395.",top,,
1001,normal_sinistral,FaultMovementSense_2016,The movement sense includes both normal and sinistral components.,http://resource.geosciml.org/classifier/cgi/faultmovementsense/0007,,,GGIC vocabularies working group (Australia),top,,
1002,normal_dextral,FaultMovementSense_2016,The movement sense includes both normal and dextral components.,http://resource.geosciml.org/classifier/cgi/faultmovementsense/0006,,,GGIC vocabularies working group (Australia),top,,
1003,not-operating,MineStatus_2016,A mine has been operating and then closed or suspended,,,,this vocabulary,top,,
1004,non-residual,,,,,,,,,
1005,not_altered,AlterationType_2016,Rock or sediment not altered.,http://resource.geosciml.org/classifier/cgi/alterationtype/0014,,,this vocabulary,alteration_not_specified,,
1006,nonresidual,,,,,,,,,
1007,naumannite,"Chace, F.M. (1956)",,,,,,,,
1008,nontronite,dh2loop_Minerals,,,,,,,,
1009,natrolite,dh2loop_Minerals,,,,,,,,
1010,nepheline,dh2loop_Minerals,,,,,,,,
1011,nephelite,"Chace, F.M. (1956)",,,,,,,,
1012,niccolite,"Chace, F.M. (1956)",,,,,,,,
1013,nickeline,dh2loop_Minerals,,,,,,,,
1014,nagyagite,"Chace, F.M. (1956)",,,,,,,,
1015,neritic,EventEnvironment_2016,"The ocean environment at depths between low-tide level and 200 metres, or between low-tide level and approximately the edge of the continental shelf",http://resource.geosciml.org/classifier/cgi/eventenvironment/0098,,,"Neuendorf et al., 2005",marine_setting,,
1016,native,,,,,,,,,
1017, never ,ValueQualifier_2016,Reported property value is never observed,,,,"GeoSciML UML model, definition this vocabulary",top,,
1018, north ,,,,,,,,,
1019, near ,dh2loop_RelativeLocation,"Source and target intervals have same starting instant (moment in Allen and Ferguson, 1994 terms), and end of target interval is after end of source interval.",,,,"Allen and Ferguson, 1994",top,,
1020,organic_accumulation,EventProcess2016,"Sediment accumulation of biologically produced organic material, as in bog, coal swamps.",http://resource.geosciml.org/classifier/cgi/eventprocess/0054,,,,deposition,,
1021,orogenic_process,EventProcess2016,Mountain building process.,http://resource.geosciml.org/classifier/cgi/eventprocess/0055,,,"Neuendorf et al., 2005",tectonic_process,,
1022,oblate_medium,ParticleAspectRatio_2016,"Particles are 'just platy' in Sneed&Folk, (1958), S/L is between 0.3 and 0.5 and (L-I)/(L-S) is less than 0.33.",,,,"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004",oblate,,
1023,oceanic_crust,EventEnvironment_2016,"That type of the Earth's crust which underlies the ocean basins. The oceanic crust is 5-10 km thick, it has a density of 2.9 g/cm3, and compressional seismic-wave velocities travelling through it at 4-7.2 km/sec. Setting in crust produced by submarine volcanism at a mid ocean ridge.",http://resource.geosciml.org/classifier/cgi/eventenvironment/0100,,,"Neuendorf et al., 2005",crust,,
1024,orthopyroxene,dh2loop_Minerals,,,,,,,,
1025,outer_neritic,EventEnvironment_2016,The ocean environment at depths between 100 and 200 metres or between low-tide level and approximately the edge of the continental shelf,http://resource.geosciml.org/classifier/cgi/eventenvironment/0102,,,this vocabulary,neritic,,
1026,oblique_slip,FaultMovementType_2016,"The net slip of the fault lies between the strike and dip directions of the fault, the slip vector rakes between 10 and 80 degrees in the plane of the fault.",http://resource.geosciml.org/classifier/cgi/faultmovementtype/0006,,,"GGIC vocabularies working group (Australia), SMR",top,,
1027,orthomatrix,CompoundMaterialConstituentPartRole_2016,"A type of matrix consisting of recrystallized detrital lutum (clay fraction,less than 2 micron) or protomatrix.",http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0023,,,"NADM SLTTs 2004, Dickinson,1970",matrix,,
1028,oligoclase,"Chace, F.M. (1956)",,,,,,,,
1029,orthoclase,"Chace, F.M. (1956)",,,,,,,,
1030,occurrence,MineralOccurrenceType_2016,"A location at which a mineral or rock that has some potential end use is present in any concentration, in outcrop or float.",,,"The key is that the deposit is defined by the fact of an anomalous concentration of some EarthMaterial. By specifying mineral or rock type we intentionally leave oil,gas, or water deposits out of this category, and include decorative stone, sand and gravel, or other rock that might be quarried.","This vocabulary, modified from Neuendorf et al., 2005 (AGI Glossary)",top,,
1031,ordovician,dh2loop_GeologicTime,,,,,,,,
1032,orogenesis,EventProcess2016,Mountain building process.,http://resource.geosciml.org/classifier/cgi/eventprocess/0055,,,"Neuendorf et al., 2005",tectonic_process,,
1033,overgrowth,CompoundMaterialConstituentPartRole_2016,"Constituent crystallized in crystallographic continuity with some other mineral constituent,typically quartz or calcite. In a clastic rock,commonly forms cement as well,but this should be represented using two role attribute links,'overgrowth' and cement,because overgrowth does not necessarily imply cement.",http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0024,,,"NADM SLTTs 2004, Neuendorf et al. 2005",structural_part,,
1034,overturned,PlanarPolarityCode_2017,The feature has been overturned (ie; rotated around a horizontal or subhorizontal axis more than 90 degrees from its original orientation).,,,,This vocabulary,,,
1035,oligocene,dh2loop_GeologicTime,,,,,,,,
1036,only_part,GeologicUnitPartRole_2016,Entire described unit consists of a single part or constituent,,,,This vocabulary,top,,
1037,obduction,EventProcess2016,The overthrusting of continental crust by oceanic crust or mantle rocks at a convergent plate boundary.,http://resource.geosciml.org/classifier/cgi/eventprocess/0053,,,"Neuendorf et al., 2005, http://en.wikipedia.org/wiki/Obduction, Coleman, R. G., 1971, Plate tectonic emplacement of upper mantle peridotites along continental edge: J.Geophys. Res., v75, p1212-1222.",tectonic_process,,
1038,oikocryst,CompoundMaterialConstituentPartRole_2016,Constituent occurs as crystals that poikilitically enclose crystals of other phases in an igneous rock.,http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0022,,,"Neuendorf et al.,2005",particulate_constituent,,
1039,operating,MineStatus_2016,A mine is operating,,,,this vocabulary,top,,
1040,over rock,,,,,,,,,
1041,oxidation,EventProcess2016,"Chemical reaction that involve stripping of electrons from cations. Typicall reactions include converting sulfide minerals to oxide minerals, or increasing the oxidation state of cations in existing oxide minerals. The most commonly observed is the oxidation of Fe",http://resource.geosciml.org/classifier/cgi/eventprocess/0056,,,this vocabulary,chemical_weathering,,
1042,opalized,,,,,,,,,
1043,orpiment,"Chace, F.M. (1956)",,,,,,,,
1044,oxidised,dh2loop_EventProcess,,,,,,,,
1045,oxidized,"Chace, F.M. (1956)",,,,,,,,
1046,olivine,"Chace, F.M. (1956)",,,,,,,,
1047,oolitic,,,,,,,,,
1048,obvious,,,,,,,,,
1049,outcrop,"Chace, F.M. (1956)",,,,,,,,
1050,oldest,dh2loop_GeologicTime,,,,,,,,
1051,oblate,ParticleAspectRatio_2016,"Particles are in 'platy group' in Sneed&Folk, (1958), S/L is less than 0.7 and (L-I)/(L-S) is less than 0.33.",,,,"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004",any_form,,
1052,oncoid,ParticleType_2016,"A '...coated grain with a cortex of irregular, partially overlapping laminae. They are typically irregular in shape and may exhibit biogenic structures. Some forms lack a distinct nucleus. Oncoids are generally larger than 2 mm.' (Hallsworth and Knox, 1999, p. 27). Synonymous with oncolite: A small, variously shaped, concentrically laminated, calcareous sedimentary structure, resembling an oolith, and formed by the accretion of successive layer[s]... It...generally does not exceed 10 cm in dimension. (Jackson, 1997, p. 446).",,,,"Jackson 1997, Hallsworth and Knox 1999",coated_particle,,
1053,opaque,"Chace, F.M. (1956)",,,,,,,,
1054,orange,"Chace, F.M. (1956)",,,,,,,,
1055,oxides,dh2loop_EventProcess,,,,,,,,
1056, older ,dh2loop_GeologicTime,,,,,,,,
1057, olive ,dh2loop_Color,,,,,,,,
1058, other ,,,,,,,,,
1059, ovate ,,,,,,,,,
1060, oxide ,"Chace, F.M. (1956)",,,,,,,,
1061, old ,dh2loop_GeologicTime,,,,,,,,
1062, orb ,ParticleType_2016,"Igneous constituent typically mafic, equant rounded spheroid with concentric mineralogic banding",,,,this vocabulary,igneous_inclusion,,
1063,polarity_chronostratigraphic_unit,GeologicUnitType_2016,Geologic unit defined by primary magnetic-polarity record imposed whien the rock was deposited or crystallized during a specific interval of geolgoic time. Kind of chronostratigraphic unit and kind of geophysical unit.,http://resource.geosciml.org/classifier/cgi/geologicunittype/0020,,,"North American Commission on Stratigraphic Nomenclature, 1983",geologic_unit,,
1064,parallel_bedding_lamination,FoliationType_2016,Bedding lamination structure in which all visible bedding surfaces are parallel.,,,,this vocabulary,bedding_lamination_structure,,
1065,particle_geometry_uncertain,ParticleAspectRatio_2016,"Particle form is uncertain or not categorizable, generally obscured by overprinting deformation, metamorphism, or alteration, but reason is not specified.",,,,this vocabulary,form_not_specified,,
1066,pressure_release_weathering,EventProcess2016,Propagation of fractures near the surface of solid rock due to expansion related to release of confining pressure when deeply buried rock is unroofed. Fractures typically propagate along surfaces close to and subparallel to the surface of the outcrop.,http://resource.geosciml.org/classifier/cgi/eventprocess/0061,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",physical_weathering,,
1067,primary_igneous_foliation,FoliationType_2016,"Foliation interpreted to be the product of igneous processes, formed in the rock while melt was still present..",,,,this vocabulary,primary_foliation,,
